method,edge_noise,attr_noise,run,acc,hit1,hit5,runtime
Node2Vec+NN,0.0,0.0,0,0.11764705882352941,0.11764705882352941,0.6176470588235294,1.065051794052124
FINAL-style,0.0,0.0,0,0.058823529411764705,0.058823529411764705,0.23529411764705882,
Node2Vec+NN,0.0,0.0,1,0.08823529411764706,0.08823529411764706,0.4411764705882353,0.29900145530700684
FINAL-style,0.0,0.0,1,0.058823529411764705,0.058823529411764705,0.23529411764705882,
Node2Vec+NN,0.0,0.0,2,0.08823529411764706,0.08823529411764706,0.4411764705882353,0.28885817527770996
FINAL-style,0.0,0.0,2,0.058823529411764705,0.058823529411764705,0.23529411764705882,
Node2Vec+NN,0.0,0.1,0,0.029411764705882353,0.029411764705882353,0.23529411764705882,0.29624390602111816
FINAL-style,0.0,0.1,0,0.058823529411764705,0.058823529411764705,0.17647058823529413,
Node2Vec+NN,0.0,0.1,1,0.14705882352941177,0.14705882352941177,0.5,0.28574371337890625
FINAL-style,0.0,0.1,1,0.029411764705882353,0.029411764705882353,0.20588235294117646,
Node2Vec+NN,0.0,0.1,2,0.3235294117647059,0.3235294117647059,0.7941176470588235,0.3341355323791504
FINAL-style,0.0,0.1,2,0.058823529411764705,0.058823529411764705,0.17647058823529413,
Node2Vec+NN,0.0,0.2,0,0.058823529411764705,0.058823529411764705,0.35294117647058826,0.29398345947265625
FINAL-style,0.0,0.2,0,0.029411764705882353,0.029411764705882353,0.14705882352941177,
Node2Vec+NN,0.0,0.2,1,0.17647058823529413,0.17647058823529413,0.6176470588235294,0.2885448932647705
FINAL-style,0.0,0.2,1,0.029411764705882353,0.029411764705882353,0.14705882352941177,
Node2Vec+NN,0.0,0.2,2,0.14705882352941177,0.14705882352941177,0.5588235294117647,0.28235554695129395
FINAL-style,0.0,0.2,2,0.029411764705882353,0.029411764705882353,0.17647058823529413,
Node2Vec+NN,0.0,0.3,0,0.08823529411764706,0.08823529411764706,0.4411764705882353,0.3001589775085449
FINAL-style,0.0,0.3,0,0.029411764705882353,0.029411764705882353,0.14705882352941177,
Node2Vec+NN,0.0,0.3,1,0.23529411764705882,0.23529411764705882,0.5882352941176471,0.31162452697753906
FINAL-style,0.0,0.3,1,0.058823529411764705,0.058823529411764705,0.20588235294117646,
Node2Vec+NN,0.0,0.3,2,0.11764705882352941,0.11764705882352941,0.4411764705882353,0.3014717102050781
FINAL-style,0.0,0.3,2,0.029411764705882353,0.029411764705882353,0.17647058823529413,
Node2Vec+NN,0.0,0.5,0,0.029411764705882353,0.029411764705882353,0.35294117647058826,0.3321812152862549
FINAL-style,0.0,0.5,0,0.029411764705882353,0.029411764705882353,0.23529411764705882,
Node2Vec+NN,0.0,0.5,1,0.058823529411764705,0.058823529411764705,0.38235294117647056,0.2912776470184326
FINAL-style,0.0,0.5,1,0.029411764705882353,0.029411764705882353,0.17647058823529413,
Node2Vec+NN,0.0,0.5,2,0.11764705882352941,0.11764705882352941,0.5,0.3128535747528076
FINAL-style,0.0,0.5,2,0.029411764705882353,0.029411764705882353,0.23529411764705882,
Node2Vec+NN,0.1,0.0,0,0.029411764705882353,0.029411764705882353,0.23529411764705882,0.3185720443725586
FINAL-style,0.1,0.0,0,0.058823529411764705,0.058823529411764705,0.23529411764705882,
Node2Vec+NN,0.1,0.0,1,0.058823529411764705,0.058823529411764705,0.4117647058823529,0.28735804557800293
